n,s,predictive,scaled_predictive,predictor
4,0,0.058823529411764705,0.23529411764705882,Deployment oracle
4,1,0.17647058823529413,0.7058823529411765,Deployment oracle
4,2,0.29411764705882354,1.1764705882352942,Deployment oracle
8,0,0.04,0.32,Deployment oracle
8,1,0.12,0.96,Deployment oracle
8,2,0.2,1.6,Deployment oracle
16,0,0.024390243902439025,0.3902439024390244,Deployment oracle
16,1,0.07317073170731707,1.170731707317073,Deployment oracle
16,2,0.12195121951219512,1.951219512195122,Deployment oracle
32,0,0.0136986301369863,0.4383561643835616,Deployment oracle
32,1,0.0410958904109589,1.3150684931506849,Deployment oracle
32,2,0.0684931506849315,2.191780821917808,Deployment oracle
64,0,0.0072992700729927005,0.46715328467153283,Deployment oracle
64,1,0.021897810218978103,1.4014598540145986,Deployment oracle
64,2,0.0364963503649635,2.335766423357664,Deployment oracle
128,0,0.0037735849056603774,0.4830188679245283,Deployment oracle
128,1,0.011320754716981131,1.4490566037735848,Deployment oracle
128,2,0.018867924528301886,2.4150943396226414,Deployment oracle
256,0,0.0019193857965451055,0.491362763915547,Deployment oracle
256,1,0.005758157389635317,1.4740882917466411,Deployment oracle
256,2,0.009596928982725527,2.456813819577735,Deployment oracle
512,0,0.000968054211035818,0.49564375605033884,Deployment oracle
512,1,0.002904162633107454,1.4869312681510165,Deployment oracle
512,2,0.00484027105517909,2.478218780251694,Deployment oracle
1024,0,0.0004861448711716091,0.49781234807972774,Deployment oracle
1024,1,0.0014584346135148275,1.4934370442391833,Deployment oracle
1024,2,0.0024307243558580457,2.489061740398639,Deployment oracle
4,0,0.04468997451845357,0.1787598980738143,Collapsed broad mixture
4,1,0.18859961860542246,0.7543984744216898,Collapsed broad mixture
4,2,0.3251750326332028,1.3007001305328112,Collapsed broad mixture
8,0,0.02814058498140854,0.22512467985126833,Collapsed broad mixture
8,1,0.12173133876013587,0.9738507100810869,Collapsed broad mixture
8,2,0.21061868256476599,1.6849494605181279,Collapsed broad mixture
16,0,0.015932375449082197,0.25491800718531515,Collapsed broad mixture
16,1,0.07096388582286854,1.1354221731658967,Collapsed broad mixture
16,2,0.12329705387644163,1.972752862023066,Collapsed broad mixture
32,0,0.008378025541146032,0.268096817316673,Collapsed broad mixture
32,1,0.03851127038684951,1.2323606523791844,Collapsed broad mixture
32,2,0.06722345607544815,2.1511505944143408,Collapsed broad mixture
64,0,0.004216299235285429,0.26984315105826745,Collapsed broad mixture
64,1,0.02000817057072548,1.2805229165264307,Collapsed broad mixture
64,2,0.035095695613440524,2.2461245192601935,Collapsed broad mixture
128,0,0.0020735943176815397,0.2654200726632371,Collapsed broad mixture
128,1,0.010146984954748112,1.2988140742077583,Collapsed broad mixture
128,2,0.017885804832356238,2.2893830185415984,Collapsed broad mixture
256,0,0.0010091751695107034,0.25834884339474007,Collapsed broad mixture
256,1,0.005081780205698019,1.3009357326586928,Collapsed broad mixture
256,2,0.009000294084750978,2.3040752856962503,Collapsed broad mixture
512,0,0.0004894158058485764,0.25058089259447114,Collapsed broad mixture
512,1,0.0025294729805728023,1.2950901660532748,Collapsed broad mixture
512,2,0.004500212792648595,2.3041089498360807,Collapsed broad mixture
1024,0,0.0002373824111285318,0.24307958899561657,Collapsed broad mixture
1024,1,0.0012556447610606366,1.2857802353260919,Collapsed broad mixture
1024,2,0.002243302716317338,2.297141981508954,Collapsed broad mixture
4,0,0.06666666666666667,0.26666666666666666,Matched single
4,1,0.2,0.8,Matched single
4,2,0.3333333333333333,1.3333333333333333,Matched single
8,0,0.043478260869565216,0.34782608695652173,Matched single
8,1,0.13043478260869565,1.0434782608695652,Matched single
8,2,0.21739130434782608,1.7391304347826086,Matched single
16,0,0.02564102564102564,0.41025641025641024,Matched single
16,1,0.07692307692307693,1.2307692307692308,Matched single
16,2,0.1282051282051282,2.051282051282051,Matched single
32,0,0.014084507042253521,0.4507042253521127,Matched single
32,1,0.04225352112676056,1.352112676056338,Matched single
32,2,0.07042253521126761,2.2535211267605635,Matched single
64,0,0.007407407407407408,0.4740740740740741,Matched single
64,1,0.022222222222222223,1.4222222222222223,Matched single
64,2,0.037037037037037035,2.3703703703703702,Matched single
128,0,0.0038022813688212928,0.4866920152091255,Matched single
128,1,0.011406844106463879,1.4600760456273765,Matched single
128,2,0.019011406844106463,2.4334600760456273,Matched single
256,0,0.0019267822736030828,0.4932562620423892,Matched single
256,1,0.005780346820809248,1.4797687861271676,Matched single
256,2,0.009633911368015413,2.466281310211946,Matched single
512,0,0.0009699321047526673,0.49660523763336567,Matched single
512,1,0.002909796314258002,1.489815712900097,Matched single
512,2,0.004849660523763337,2.4830261881668285,Matched single
1024,0,0.00048661800486618007,0.4982968369829684,Matched single
1024,1,0.00145985401459854,1.494890510948905,Matched single
1024,2,0.0024330900243309003,2.491484184914842,Matched single
