n,delta_n,cumulative_gap,deployment,c,d,regime,scaled_gap
8,0.0019075395381428866,0.0019075395381428866,"Interior Beta(2,4)",2.0,4.0,interior,0.12208253044114474
16,0.000824881238879007,0.0027324207770218936,"Interior Beta(2,4)",2.0,4.0,interior,0.2111695971530258
32,0.0002945788979976626,0.003026999675019556,"Interior Beta(2,4)",2.0,4.0,interior,0.3016487915496065
64,9.151117791787e-05,0.003118510852937426,"Interior Beta(2,4)",2.0,4.0,interior,0.3748297847515955
128,2.5969570970130203e-05,0.0031444804239075565,"Interior Beta(2,4)",2.0,4.0,interior,0.42548545077461325
256,6.9775862037180704e-06,0.0031514580101112744,"Interior Beta(2,4)",2.0,4.0,interior,0.45728308944686746
512,1.8161645484108838e-06,0.0031532741746596853,"Interior Beta(2,4)",2.0,4.0,interior,0.47609663937862273
1024,4.6428277969043725e-07,0.0031537384574393756,"Interior Beta(2,4)",2.0,4.0,interior,0.48683577999667993
2048,1.1749977654190638e-07,0.0031538559572159173,"Interior Beta(2,4)",2.0,4.0,interior,0.4928297827488241
4096,2.957142180579271e-08,0.003153885528637723,"Interior Beta(2,4)",2.0,4.0,interior,0.4961261310628943
8,0.0036725631441550705,0.0036725631441550705,"Critical Beta(1,4)",1.0,4.0,critical,0.11303229088904747
16,0.0017745758027027396,0.00544713894685781,"Critical Beta(1,4)",1.0,4.0,critical,0.16385098945541082
32,0.0007268546338719803,0.00617399358072979,"Critical Beta(1,4)",1.0,4.0,critical,0.2147593371103783
64,0.00026272298382071593,0.006436716564550506,"Critical Beta(1,4)",1.0,4.0,critical,0.25875056359130333
128,8.701781979562743e-05,0.006523734384346133,"Critical Beta(1,4)",1.0,4.0,critical,0.2938357516302539
256,2.716011463796628e-05,0.0065508944989840995,"Critical Beta(1,4)",1.0,4.0,critical,0.32099338402340616
512,8.139400906108678e-06,0.006559033899890208,"Critical Beta(1,4)",1.0,4.0,critical,0.34203015062196135
1024,2.370396719188432e-06,0.006561404296609397,"Critical Beta(1,4)",1.0,4.0,critical,0.3585877833639652
2048,6.760604282695845e-07,0.0065620803570376664,"Critical Beta(1,4)",1.0,4.0,critical,0.37190093874594443
4096,1.8980184815481234e-07,0.006562270158885821,"Critical Beta(1,4)",1.0,4.0,critical,0.3828367544682305
8,0.023569211241923654,0.023569211241923654,"Singular Beta(0.5,4)",0.5,4.0,singular,0.5333103710842376
16,0.012564196044176097,0.03613340728609975,"Singular Beta(0.5,4)",0.5,4.0,singular,0.8041085468272702
32,0.005867333068587968,0.04200074035468772,"Singular Beta(0.5,4)",0.5,4.0,singular,1.0621007360713286
64,0.002488385943020602,0.04448912629770832,"Singular Beta(0.5,4)",0.5,4.0,singular,1.2740536028265481
128,0.000989695675670428,0.04547882197337875,"Singular Beta(0.5,4)",0.5,4.0,singular,1.4332324322868464
256,0.00037775480000391815,0.045856576773382667,"Singular Beta(0.5,4)",0.5,4.0,singular,1.5472836608160487
512,0.00014046278733220805,0.045997039560714874,"Singular Beta(0.5,4)",0.5,4.0,singular,1.627294751571447
1024,5.1361651810278344e-05,0.04604840121252515,"Singular Beta(0.5,4)",0.5,4.0,singular,1.6830186065192008
2048,1.85775180995603e-05,0.046066978730624715,"Singular Beta(0.5,4)",0.5,4.0,singular,1.721799675191612
4096,6.671301423786926e-06,0.0460736500320485,"Singular Beta(0.5,4)",0.5,4.0,singular,1.7488416404372
8,0.058640842163459474,0.058640842163459474,"More singular Beta(0.2,4)",0.2,4.0,singular,0.7110631675302158
16,0.033829905693398804,0.09247074785685827,"More singular Beta(0.2,4)",0.2,4.0,singular,0.9424205906445786
32,0.01756905294270413,0.11003980079956241,"More singular Beta(0.2,4)",0.2,4.0,singular,1.1244193883330642
64,0.008489239762890056,0.11852904056245246,"More singular Beta(0.2,4)",0.2,4.0,singular,1.2482016961033249
128,0.003922764090761285,0.12245180465321374,"More singular Beta(0.2,4)",0.2,4.0,singular,1.3250862719629708
256,0.0017659695974914867,0.12421777425070524,"More singular Beta(0.2,4)",0.2,4.0,singular,1.3704751999342313
512,0.0007833233541635033,0.12500109760486874,"More singular Beta(0.2,4)",0.2,4.0,singular,1.396577458606176
1024,0.00034458077455460425,0.12534567837942334,"More singular Beta(0.2,4)",0.2,4.0,singular,1.4114028525756586
2048,0.0001508777203440204,0.12549655609976737,"More singular Beta(0.2,4)",0.2,4.0,singular,1.4197800072386877
4096,6.58919777937828e-05,0.12556244807756115,"More singular Beta(0.2,4)",0.2,4.0,singular,1.4245066498927534
