experiment,predictor,deployment,metric,aggregation,value
exp1_global_hedge,"Single Beta(5,5)","Beta(5,5)",K_128,per_deployment,0.0
exp1_global_hedge,"Single Beta(8,2)","Beta(5,5)",K_128,per_deployment,2.0225495214809674
exp1_global_hedge,"Single Beta(3,6)","Beta(5,5)",K_128,per_deployment,0.5387289029778107
exp1_global_hedge,Broad mixture,"Beta(5,5)",K_128,per_deployment,0.24616603853889274
exp1_global_hedge,"Single Beta(5,5)","Beta(8,2)",K_128,per_deployment,2.3206960266763033
exp1_global_hedge,"Single Beta(8,2)","Beta(8,2)",K_128,per_deployment,0.0
exp1_global_hedge,"Single Beta(3,6)","Beta(8,2)",K_128,per_deployment,4.746665081920838
exp1_global_hedge,Broad mixture,"Beta(8,2)",K_128,per_deployment,0.6957878601133526
exp1_global_hedge,"Single Beta(5,5)","Beta(3,6)",K_128,per_deployment,0.6212619486106483
exp1_global_hedge,"Single Beta(8,2)","Beta(3,6)",K_128,per_deployment,4.769810011034949
exp1_global_hedge,"Single Beta(3,6)","Beta(3,6)",K_128,per_deployment,0.0
exp1_global_hedge,Broad mixture,"Beta(3,6)",K_128,per_deployment,0.46461646419140906
exp1_global_hedge,Broad mixture,AVERAGE,K_128,average,0.46885678761455146
exp1_global_hedge,"Single Beta(3,6)",AVERAGE,K_128,average,1.7617979949662164
exp1_global_hedge,"Single Beta(5,5)",AVERAGE,K_128,average,0.9806526584289839
exp1_global_hedge,"Single Beta(8,2)",AVERAGE,K_128,average,2.264119844171972
exp1_global_hedge,Broad mixture,WORST_CASE,K_128,worst_case,0.6957878601133526
exp1_global_hedge,"Single Beta(3,6)",WORST_CASE,K_128,worst_case,4.746665081920838
exp1_global_hedge,"Single Beta(5,5)",WORST_CASE,K_128,worst_case,2.3206960266763033
exp1_global_hedge,"Single Beta(8,2)",WORST_CASE,K_128,worst_case,4.769810011034949
exp2_boundary_failure,Deployment oracle,"Beta(0.5,4)",K_grid,deployment_fixed,0.0
exp2_boundary_failure,Collapsed broad mixture,"Beta(0.5,4)",K_grid,deployment_fixed,0.005326849782904415
exp2_boundary_failure,Matched single,"Beta(0.5,4)",K_grid,deployment_fixed,0.0020110481173868343
exp3_boundary_fix,Global collapsed mixture,"Beta(0.5,4)",K_256,deployment_fixed,0.09108901763909436
exp3_boundary_fix,Boundary-aware bucket,"Beta(0.5,4)",K_256,deployment_fixed,0.0019725471509855932
exp3_boundary_fix,Deployment oracle,"Beta(0.5,4)",K_256,deployment_fixed,0.0
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","Interior Beta(2,4)",K_phase_grid,per_deployment,0.003153885528637723
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","Critical Beta(1,4)",K_phase_grid,per_deployment,0.006562270158885821
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","Singular Beta(0.5,4)",K_phase_grid,per_deployment,0.0460736500320485
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","More singular Beta(0.2,4)",K_phase_grid,per_deployment,0.12556244807756115
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","Interior Beta(2,4)",tail_loglog_slope,per_deployment,-1.9803988256381988
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","Interior Beta(2,4)",tail_scaled_mean,per_deployment,0.4879720832967553
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","Interior Beta(2,4)",tail_scaled_ratio,per_deployment,1.0420702227816878
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","Critical Beta(1,4)",tail_loglog_slope,per_deployment,-1.8076974418542855
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","Critical Beta(1,4)",tail_scaled_mean,per_deployment,0.36383890680002534
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","Critical Beta(1,4)",tail_scaled_ratio,per_deployment,1.1193070370318663
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","Singular Beta(0.5,4)",tail_loglog_slope,per_deployment,-1.465536162258855
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","Singular Beta(0.5,4)",tail_scaled_mean,per_deployment,1.6952386684298648
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","Singular Beta(0.5,4)",tail_scaled_ratio,per_deployment,1.0746926079300492
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","More singular Beta(0.2,4)",tail_loglog_slope,per_deployment,-1.1905762134669011
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","More singular Beta(0.2,4)",tail_scaled_mean,per_deployment,1.413066742078319
exp4_phase_transition,"Fixed training prior Beta(1.5,4)","More singular Beta(0.2,4)",tail_scaled_ratio,per_deployment,1.0199983116686213
